tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3002,6440,3768,8876,CD,0,D2_pwm200_grab1
3008,-2892,2464,14048,CD,0,D2_pwm200_grab1
3012,1332,-3988,5104,CD,0,D2_pwm200_grab1
3018,960,136,11216,CD,0,D2_pwm200_grab1
3023,-344,2056,12108,CD,0,D2_pwm200_grab1
3027,-2596,-1920,7924,CD,0,D2_pwm200_grab1
3032,704,-1228,8100,CD,0,D2_pwm200_grab1
3038,4980,-536,11060,CD,0,D2_pwm200_grab1
3043,-3196,4528,13936,CD,0,D2_pwm200_grab1
3048,-6488,-2552,8936,CD,0,D2_pwm200_grab1
3058,-256,3788,11792,CD,0,D2_pwm200_grab1
3062,-1668,-136,9124,CD,0,D2_pwm200_grab1
3068,-308,-2056,9696,CD,0,D2_pwm200_grab1
3072,-2684,-2264,4072,CD,0,D2_pwm200_grab1
3077,-1752,-2732,6572,CD,0,D2_pwm200_grab1
3082,1464,2216,12372,CD,0,D2_pwm200_grab1
3087,468,224,13664,CD,0,D2_pwm200_grab1
3092,80,900,10940,CD,0,D2_pwm200_grab1
3097,-1380,1996,10364,CD,0,D2_pwm200_grab1
3102,1836,708,11528,CD,0,D2_pwm200_grab1
3107,956,-2060,6768,CD,0,D2_pwm200_grab1
3112,-2368,-2412,6480,CD,0,D2_pwm200_grab1
3117,4148,1576,13036,CD,0,D2_pwm200_grab1
3123,-1520,1552,10996,CD,0,D2_pwm200_grab1
3127,-4320,-2536,6880,CD,0,D2_pwm200_grab1
3132,1196,-1104,12088,CD,0,D2_pwm200_grab1
3137,-476,2124,15696,CD,0,D2_pwm200_grab1
3143,-6268,-2472,10276,CD,0,D2_pwm200_grab1
3147,-2384,-7032,6708,CD,0,D2_pwm200_grab1
3153,4344,1280,12412,CD,0,D2_pwm200_grab1
3158,-236,1164,10372,CD,0,D2_pwm200_grab1
3163,-4272,-2352,7828,CD,0,D2_pwm200_grab1
3168,728,364,9392,CD,0,D2_pwm200_grab1
3173,-968,1760,15828,CD,0,D2_pwm200_grab1
3179,-1096,-1372,12784,CD,0,D2_pwm200_grab1
3183,-964,-6668,6124,CD,0,D2_pwm200_grab1
3188,4252,2044,12272,CD,0,D2_pwm200_grab1
3193,-280,560,9836,CD,0,D2_pwm200_grab1
3198,-2624,-2292,6768,CD,0,D2_pwm200_grab1
3203,5148,-3488,10440,CD,0,D2_pwm200_grab1
3208,-1028,3180,7412,CD,0,D2_pwm200_grab1
3213,2564,-388,11344,CD,0,D2_pwm200_grab1
3219,-800,-5804,10444,CD,0,D2_pwm200_grab1
3223,3704,-2492,9076,CD,0,D2_pwm200_grab1
3228,-1720,88,9436,CD,0,D2_pwm200_grab1
3239,648,-2920,10140,CD,0,D2_pwm200_grab1
3244,-1100,-252,9448,CD,0,D2_pwm200_grab1
3249,-776,80,12844,CD,0,D2_pwm200_grab1
3254,4220,2852,9584,CD,0,D2_pwm200_grab1
3259,2528,-4612,9148,CD,0,D2_pwm200_grab1
3263,96,-2064,9724,CD,0,D2_pwm200_grab1
3274,1664,-3240,8480,CD,0,D2_pwm200_grab1
3279,1280,1472,13272,CD,0,D2_pwm200_grab1
3283,-1140,-212,10172,CD,0,D2_pwm200_grab1
3288,6916,4140,11028,CD,0,D2_pwm200_grab1
3293,-1520,1360,12568,CD,0,D2_pwm200_grab1
3299,-1672,-5236,3548,CD,0,D2_pwm200_grab1
3308,1644,1444,13420,CD,0,D2_pwm200_grab1
3314,-2312,-2304,8492,CD,0,D2_pwm200_grab1
3319,-356,28,9256,CD,0,D2_pwm200_grab1
3324,8412,4556,12944,CD,0,D2_pwm200_grab1
3328,-3556,4940,15340,CD,0,D2_pwm200_grab1
3333,-6064,-2752,10000,CD,0,D2_pwm200_grab1
3344,172,4408,11908,CD,0,D2_pwm200_grab1
3348,-976,-668,8704,CD,0,D2_pwm200_grab1
3353,676,-2016,10060,CD,0,D2_pwm200_grab1
3364,-3996,5072,15792,CD,0,D2_pwm200_grab1
3368,-324,-664,12144,CD,0,D2_pwm200_grab1
3374,2320,1452,13628,CD,0,D2_pwm200_grab1
3379,1908,3856,11244,CD,0,D2_pwm200_grab1
3383,-2168,2044,10248,CD,0,D2_pwm200_grab1
3388,3300,-204,8464,CD,0,D2_pwm200_grab1
3393,1468,-1272,8216,CD,0,D2_pwm200_grab1
3398,-1476,-156,7092,CD,0,D2_pwm200_grab1
3403,2020,2252,11436,CD,0,D2_pwm200_grab1
3408,4220,2012,11132,CD,0,D2_pwm200_grab1
3415,1876,2988,12304,CD,0,D2_pwm200_grab1
3420,-1456,704,8536,CD,0,D2_pwm200_grab1
3425,3180,-456,9164,CD,0,D2_pwm200_grab1
3429,2940,-1016,11612,CD,0,D2_pwm200_grab1
3435,-24,724,6120,CD,0,D2_pwm200_grab1
3439,-1612,2092,9572,CD,0,D2_pwm200_grab1
3444,4560,1664,10948,CD,0,D2_pwm200_grab1
3449,372,2632,9272,CD,0,D2_pwm200_grab1
3456,-2764,1632,9148,CD,0,D2_pwm200_grab1
3460,1624,3104,13384,CD,0,D2_pwm200_grab1
3464,-2244,-1152,13128,CD,0,D2_pwm200_grab1
3470,-72,-6556,4160,CD,0,D2_pwm200_grab1
3474,3880,916,12416,CD,0,D2_pwm200_grab1
3480,-1148,-908,8752,CD,0,D2_pwm200_grab1
3485,-3828,-2480,7072,CD,0,D2_pwm200_grab1
3489,-2692,528,8056,CD,0,D2_pwm200_grab1
3495,-212,1760,14736,CD,0,D2_pwm200_grab1
3499,-520,-1160,10444,CD,0,D2_pwm200_grab1
3504,-1924,-5268,11772,CD,0,D2_pwm200_grab1
3510,2964,-4100,10364,CD,0,D2_pwm200_grab1
3514,-1352,-4,10356,CD,0,D2_pwm200_grab1
3525,888,-3356,10172,CD,0,D2_pwm200_grab1
3529,-3084,3164,10828,CD,0,D2_pwm200_grab1
3534,-868,-1644,9068,CD,0,D2_pwm200_grab1
3539,-2280,-7324,13376,CD,0,D2_pwm200_grab1
3545,2448,-3624,8528,CD,0,D2_pwm200_grab1
3550,-788,-1916,10920,CD,0,D2_pwm200_grab1
3554,-6124,-2188,8624,CD,0,D2_pwm200_grab1
3560,2816,-2516,11120,CD,0,D2_pwm200_grab1
3564,-548,868,12204,CD,0,D2_pwm200_grab1
3570,-1292,80,12256,CD,0,D2_pwm200_grab1
3575,2568,1308,13224,CD,0,D2_pwm200_grab1
3580,4204,-3072,9292,CD,0,D2_pwm200_grab1
3584,1864,-3860,5516,CD,0,D2_pwm200_grab1
3594,1048,2852,12708,CD,0,D2_pwm200_grab1
3600,-1180,-3048,8984,CD,0,D2_pwm200_grab1
3604,2224,1052,10344,CD,0,D2_pwm200_grab1
3610,8760,5916,12140,CD,0,D2_pwm200_grab1
3615,-488,2528,13780,CD,0,D2_pwm200_grab1
3619,628,-2880,4068,CD,0,D2_pwm200_grab1
3630,1032,4448,12476,CD,0,D2_pwm200_grab1
3635,-1956,-536,9584,CD,0,D2_pwm200_grab1
3639,460,-1464,10328,CD,0,D2_pwm200_grab1
3644,8532,668,12120,CD,0,D2_pwm200_grab1
3650,-3572,5500,13376,CD,0,D2_pwm200_grab1
3654,-4372,-1104,10420,CD,0,D2_pwm200_grab1
3659,4860,456,8808,CD,0,D2_pwm200_grab1
3665,2020,3020,11592,CD,0,D2_pwm200_grab1
3670,-948,-1924,7864,CD,0,D2_pwm200_grab1
3675,1744,-1864,8876,CD,0,D2_pwm200_grab1
3686,-2248,6092,11988,CD,0,D2_pwm200_grab1
3690,-3456,-1648,10288,CD,0,D2_pwm200_grab1
3700,2260,2564,8304,CD,0,D2_pwm200_grab1
3706,-728,-1208,8856,CD,0,D2_pwm200_grab1
3712,1576,-1912,7232,CD,0,D2_pwm200_grab1
3715,-24,532,4168,CD,0,D2_pwm200_grab1
3721,816,-2312,4048,CD,0,D2_pwm200_grab1
3725,1984,2376,10124,CD,0,D2_pwm200_grab1
3730,812,-1196,11128,CD,0,D2_pwm200_grab1
3735,852,-180,9216,CD,0,D2_pwm200_grab1
3740,-1328,1260,9928,CD,0,D2_pwm200_grab1
3746,2088,728,8012,CD,0,D2_pwm200_grab1
3751,-1528,-1260,4256,CD,0,D2_pwm200_grab1
3760,3496,-1800,10336,CD,0,D2_pwm200_grab1
3765,-2520,-636,9552,CD,0,D2_pwm200_grab1
3775,-1260,-1888,10924,CD,0,D2_pwm200_grab1
3780,-4824,1112,12088,CD,0,D2_pwm200_grab1
3790,-3308,-7072,10400,CD,0,D2_pwm200_grab1
3796,1580,-1456,10988,CD,0,D2_pwm200_grab1
3800,-44,-1396,11032,CD,0,D2_pwm200_grab1
3811,1672,-3128,8276,CD,0,D2_pwm200_grab1
3815,2580,2852,12096,CD,0,D2_pwm200_grab1
3820,-1676,-480,10184,CD,0,D2_pwm200_grab1
3825,72,-3596,15692,CD,0,D2_pwm200_grab1
3831,2708,-3868,7592,CD,0,D2_pwm200_grab1
3836,1344,-24,11912,CD,0,D2_pwm200_grab1
3845,2384,1064,13712,CD,0,D2_pwm200_grab1
3850,-1588,-1692,9044,CD,0,D2_pwm200_grab1
3855,-128,676,9476,CD,0,D2_pwm200_grab1
3861,6960,4900,12676,CD,0,D2_pwm200_grab1
3865,716,132,11972,CD,0,D2_pwm200_grab1
3871,-256,-3936,3604,CD,0,D2_pwm200_grab1
3881,1356,668,12088,CD,0,D2_pwm200_grab1
3885,-876,-1308,8976,CD,0,D2_pwm200_grab1
3891,1160,-1092,10156,CD,0,D2_pwm200_grab1
3901,-3532,4952,14192,CD,0,D2_pwm200_grab1
3906,-1848,-1392,11660,CD,0,D2_pwm200_grab1
3915,1768,2964,12132,CD,0,D2_pwm200_grab1
3920,-1460,-952,9124,CD,0,D2_pwm200_grab1
3927,2492,-1292,9120,CD,0,D2_pwm200_grab1
3931,9664,2752,13488,CD,0,D2_pwm200_grab1
3942,-3444,-1068,11268,CD,0,D2_pwm200_grab1
3951,2212,3012,12460,CD,0,D2_pwm200_grab1
3957,-112,-1644,8512,CD,0,D2_pwm200_grab1
3962,1632,-1652,7444,CD,0,D2_pwm200_grab1
3972,1452,-1284,4672,CD,0,D2_pwm200_grab1
3977,1108,1492,10968,CD,0,D2_pwm200_grab1
3981,460,-788,11576,CD,0,D2_pwm200_grab1
3986,560,-240,8524,CD,0,D2_pwm200_grab1
3991,-2836,636,9112,CD,0,D2_pwm200_grab1
3996,2956,388,8596,CD,0,D2_pwm200_grab1
4001,-868,-396,3420,CD,0,D2_pwm200_grab1
4007,-1240,-2340,5216,CD,0,D2_pwm200_grab1
4012,3096,-1272,10724,CD,0,D2_pwm200_grab1
4017,-2484,-124,9160,CD,0,D2_pwm200_grab1
4027,-1568,-1872,11644,CD,0,D2_pwm200_grab1
4032,-4720,908,11712,CD,0,D2_pwm200_grab1
4047,1512,-1460,11460,CD,0,D2_pwm200_grab1
4051,-3168,-40,9368,CD,0,D2_pwm200_grab1
4062,2500,-2672,8704,CD,0,D2_pwm200_grab1
4066,2428,2348,12192,CD,0,D2_pwm200_grab1
4071,-1592,-356,10996,CD,0,D2_pwm200_grab1
4077,164,-2868,15032,CD,0,D2_pwm200_grab1
4081,2668,-3628,7768,CD,0,D2_pwm200_grab1
4086,1628,-852,11764,CD,0,D2_pwm200_grab1
4097,1784,968,13828,CD,0,D2_pwm200_grab1
4101,-1444,-1576,9428,CD,0,D2_pwm200_grab1
4107,1300,240,8580,CD,0,D2_pwm200_grab1
4112,7428,5664,12220,CD,0,D2_pwm200_grab1
4117,120,780,12356,CD,0,D2_pwm200_grab1
4121,1500,-3540,4388,CD,0,D2_pwm200_grab1
4131,480,2292,11080,CD,0,D2_pwm200_grab1
4136,-1280,-1284,10600,CD,0,D2_pwm200_grab1
4141,1092,-960,9792,CD,0,D2_pwm200_grab1
4147,9508,2372,11828,CD,0,D2_pwm200_grab1
4152,-3008,4692,12748,CD,0,D2_pwm200_grab1
4156,-3496,-1364,10264,CD,0,D2_pwm200_grab1
4162,1028,1100,6632,CD,0,D2_pwm200_grab1
4166,1620,2392,12552,CD,0,D2_pwm200_grab1
4171,-1948,-136,8868,CD,0,D2_pwm200_grab1
4176,1824,-972,8732,CD,0,D2_pwm200_grab1
4182,8312,1116,13328,CD,0,D2_pwm200_grab1
4187,-2248,6344,10408,CD,0,D2_pwm200_grab1
4192,-3224,-204,10356,CD,0,D2_pwm200_grab1
4197,3656,-136,5924,CD,0,D2_pwm200_grab1
4203,2584,3540,11216,CD,0,D2_pwm200_grab1
4207,-1116,-992,8144,CD,0,D2_pwm200_grab1
4213,1864,-1108,7020,CD,0,D2_pwm200_grab1
4217,9104,2148,10372,CD,0,D2_pwm200_grab1
4224,-2760,4096,9656,CD,0,D2_pwm200_grab1
4228,2020,2312,10680,CD,0,D2_pwm200_grab1
4233,852,-316,10868,CD,0,D2_pwm200_grab1
4237,-1644,-1152,7448,CD,0,D2_pwm200_grab1
4242,-1436,616,10096,CD,0,D2_pwm200_grab1
4247,1356,740,12552,CD,0,D2_pwm200_grab1
4252,-664,-116,9212,CD,0,D2_pwm200_grab1
4258,-516,-4412,5220,CD,0,D2_pwm200_grab1
4263,3864,2164,10580,CD,0,D2_pwm200_grab1
4268,1220,388,8924,CD,0,D2_pwm200_grab1
4277,4328,-1992,10772,CD,0,D2_pwm200_grab1
4282,-3092,1452,9992,CD,0,D2_pwm200_grab1
4288,-1052,-2048,8504,CD,0,D2_pwm200_grab1
4292,-3292,-6904,14400,CD,0,D2_pwm200_grab1
4298,2324,-3872,9380,CD,0,D2_pwm200_grab1
4303,-1064,-1164,9024,CD,0,D2_pwm200_grab1
4312,2164,-512,9980,CD,0,D2_pwm200_grab1
4318,-2812,-568,8936,CD,0,D2_pwm200_grab1
4322,-3056,268,9520,CD,0,D2_pwm200_grab1
4327,5784,3024,9436,CD,0,D2_pwm200_grab1
4332,700,-2524,8628,CD,0,D2_pwm200_grab1
4337,-1628,-5404,5720,CD,0,D2_pwm200_grab1
4342,-232,-1204,11144,CD,0,D2_pwm200_grab1
4348,3752,1408,11100,CD,0,D2_pwm200_grab1
4352,-2036,-1168,8124,CD,0,D2_pwm200_grab1
4357,760,-2044,8324,CD,0,D2_pwm200_grab1
4373,2584,-1764,11332,CD,0,D2_pwm200_grab1
4382,1628,5100,8824,CD,0,D2_pwm200_grab1
4388,-2896,-688,9616,CD,0,D2_pwm200_grab1
4393,1844,-1028,9700,CD,0,D2_pwm200_grab1
4397,-700,-1352,8220,CD,0,D2_pwm200_grab1
4402,-920,704,7492,CD,0,D2_pwm200_grab1
4408,572,2836,12840,CD,0,D2_pwm200_grab1
4412,4724,1568,11680,CD,0,D2_pwm200_grab1
4417,2244,2232,11424,CD,0,D2_pwm200_grab1
4422,-1996,1864,9800,CD,0,D2_pwm200_grab1
4428,2996,-676,8784,CD,0,D2_pwm200_grab1
4433,848,-432,10532,CD,0,D2_pwm200_grab1
4439,312,-592,5876,CD,0,D2_pwm200_grab1
4444,1708,3008,11752,CD,0,D2_pwm200_grab1
4448,2088,1532,12380,CD,0,D2_pwm200_grab1
4454,2800,3036,10848,CD,0,D2_pwm200_grab1
4458,-2612,2012,9640,CD,0,D2_pwm200_grab1
4463,3708,-196,7352,CD,0,D2_pwm200_grab1
4468,-848,208,6216,CD,0,D2_pwm200_grab1
4473,-880,144,5484,CD,0,D2_pwm200_grab1
4478,2820,2384,11220,CD,0,D2_pwm200_grab1
4483,-320,-600,8464,CD,0,D2_pwm200_grab1
4489,-5984,-2948,4180,CD,0,D2_pwm200_grab1
4494,200,440,11288,CD,0,D2_pwm200_grab1
4499,-3012,856,14032,CD,0,D2_pwm200_grab1
4503,-7720,-1896,6412,CD,0,D2_pwm200_grab1
4508,-3192,-5780,9316,CD,0,D2_pwm200_grab1
4514,5196,-32,10628,CD,0,D2_pwm200_grab1
4518,-1928,400,10240,CD,0,D2_pwm200_grab1
4529,4384,-3016,9476,CD,0,D2_pwm200_grab1
4533,2628,2940,11724,CD,0,D2_pwm200_grab1
4539,448,-16,11012,CD,0,D2_pwm200_grab1
4543,-1588,-2948,15340,CD,0,D2_pwm200_grab1
4548,4824,-3680,5960,CD,0,D2_pwm200_grab1
4554,212,-956,10124,CD,0,D2_pwm200_grab1
4559,-9332,-6144,8008,CD,0,D2_pwm200_grab1
4563,3408,-3060,8232,CD,0,D2_pwm200_grab1
4568,-2288,-2004,9096,CD,0,D2_pwm200_grab1
4573,-252,24,7764,CD,0,D2_pwm200_grab1
4578,8528,4724,10812,CD,0,D2_pwm200_grab1
4583,-1836,272,10892,CD,0,D2_pwm200_grab1
4599,1328,964,11672,CD,0,D2_pwm200_grab1
4603,-2572,-2200,10228,CD,0,D2_pwm200_grab1
4609,-1060,-2884,6940,CD,0,D2_pwm200_grab1
4613,8344,1164,11972,CD,0,D2_pwm200_grab1
4618,-5408,3604,14440,CD,0,D2_pwm200_grab1
4623,-5208,-2252,12908,CD,0,D2_pwm200_grab1
4628,4140,-1352,10060,CD,0,D2_pwm200_grab1
4634,1260,2780,10404,CD,0,D2_pwm200_grab1
4638,-3124,-160,9788,CD,0,D2_pwm200_grab1
4644,236,-2220,8648,CD,0,D2_pwm200_grab1
4648,6872,728,12536,CD,0,D2_pwm200_grab1
4653,-100,-1940,6368,CD,0,D2_pwm200_grab1
4659,2984,3644,13200,CD,0,D2_pwm200_grab1
4664,920,128,12280,CD,0,D2_pwm200_grab1
4668,420,252,9304,CD,0,D2_pwm200_grab1
4674,-1876,1584,10440,CD,0,D2_pwm200_grab1
4679,1452,-68,11436,CD,0,D2_pwm200_grab1
4683,-156,-1236,5624,CD,0,D2_pwm200_grab1
4688,320,-3304,6208,CD,0,D2_pwm200_grab1
