tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3004,5740,4314,11202,CN,0,N_pwm125_grab1
3009,5070,7196,12684,CN,0,N_pwm125_grab1
3014,-3396,-42,13048,CN,0,N_pwm125_grab1
3019,4592,-1232,8450,CN,0,N_pwm125_grab1
3025,-118,4308,13820,CN,0,N_pwm125_grab1
3030,-4346,376,13704,CN,0,N_pwm125_grab1
3035,-4346,376,13704,CN,0,N_pwm125_grab1
3040,-12324,-6346,7530,CN,0,N_pwm125_grab1
3045,-906,-1152,8884,CN,0,N_pwm125_grab1
3050,-1200,2,10924,CN,0,N_pwm125_grab1
3055,3776,1984,13054,CN,0,N_pwm125_grab1
3061,-164,-1456,10470,CN,0,N_pwm125_grab1
3066,11898,388,4970,CN,0,N_pwm125_grab1
3070,5492,6104,13136,CN,0,N_pwm125_grab1
3076,3848,6164,13528,CN,0,N_pwm125_grab1
3080,-4456,526,12748,CN,0,N_pwm125_grab1
3086,-3554,-7880,4126,CN,0,N_pwm125_grab1
3090,-14626,-5400,7924,CN,0,N_pwm125_grab1
3095,26,-1160,8590,CN,0,N_pwm125_grab1
3100,-10190,-4904,8342,CN,0,N_pwm125_grab1
3105,-10620,-6268,8008,CN,0,N_pwm125_grab1
3111,-1020,-1902,8948,CN,0,N_pwm125_grab1
3116,18402,516,4622,CN,0,N_pwm125_grab1
3120,6044,4650,12210,CN,0,N_pwm125_grab1
3125,5438,7302,12488,CN,0,N_pwm125_grab1
3131,-3008,34,13320,CN,0,N_pwm125_grab1
3136,-906,-8776,3208,CN,0,N_pwm125_grab1
3141,-14424,-3184,10130,CN,0,N_pwm125_grab1
3146,-4714,656,13552,CN,0,N_pwm125_grab1
3150,-6434,-7158,5936,CN,0,N_pwm125_grab1
3156,-13118,-6314,7564,CN,0,N_pwm125_grab1
3161,360,-594,13134,CN,0,N_pwm125_grab1
3165,17040,486,4344,CN,0,N_pwm125_grab1
3171,6336,6690,14858,CN,0,N_pwm125_grab1
3176,7338,6704,13172,CN,0,N_pwm125_grab1
3181,2486,182,12288,CN,0,N_pwm125_grab1
3185,5124,3308,9866,CN,0,N_pwm125_grab1
3190,4580,6828,13110,CN,0,N_pwm125_grab1
3196,-3890,230,12738,CN,0,N_pwm125_grab1
3201,-11386,-3552,9932,CN,0,N_pwm125_grab1
3205,-7078,-5436,7498,CN,0,N_pwm125_grab1
3211,-232,-1414,10348,CN,0,N_pwm125_grab1
3216,11782,342,5008,CN,0,N_pwm125_grab1
3221,5448,6060,13128,CN,0,N_pwm125_grab1
3226,258,608,13364,CN,0,N_pwm125_grab1
3230,18422,526,4580,CN,0,N_pwm125_grab1
3236,6222,5620,13740,CN,0,N_pwm125_grab1
3240,6094,7136,12638,CN,0,N_pwm125_grab1
3246,-4214,504,12694,CN,0,N_pwm125_grab1
3250,-10182,-5048,8350,CN,0,N_pwm125_grab1
3255,-10876,-6254,8038,CN,0,N_pwm125_grab1
3260,-1100,-1852,9072,CN,0,N_pwm125_grab1
3265,-10152,-2116,11282,CN,0,N_pwm125_grab1
3271,-4646,-3788,8234,CN,0,N_pwm125_grab1
3275,240,-1018,12474,CN,0,N_pwm125_grab1
3281,15514,298,4006,CN,0,N_pwm125_grab1
3286,6228,6706,14366,CN,0,N_pwm125_grab1
