tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
3004,6842,342,22614,SC,0,V_pwm175_grab1
3009,270,1236,21686,SC,0,V_pwm175_grab1
3015,-5782,1230,11312,SC,0,V_pwm175_grab1
3020,-4486,406,280,SC,0,V_pwm175_grab1
3024,-646,-194,-2944,SC,0,V_pwm175_grab1
3030,6396,204,8736,SC,0,V_pwm175_grab1
3035,6924,-762,20610,SC,0,V_pwm175_grab1
3041,5254,230,5742,SC,0,V_pwm175_grab1
3050,2088,-924,22676,SC,0,V_pwm175_grab1
3056,-5376,-1344,12788,SC,0,V_pwm175_grab1
3060,-5028,-1974,1746,SC,0,V_pwm175_grab1
3065,-1924,-1482,-2568,SC,0,V_pwm175_grab1
3070,5312,-52,8008,SC,0,V_pwm175_grab1
3075,-5722,1100,9728,SC,0,V_pwm175_grab1
3081,370,990,21006,SC,0,V_pwm175_grab1
3085,-5256,1226,11910,SC,0,V_pwm175_grab1
3090,-4346,690,912,SC,0,V_pwm175_grab1
3095,-1016,-106,-3060,SC,0,V_pwm175_grab1
3101,6156,270,7860,SC,0,V_pwm175_grab1
3105,7438,-742,20426,SC,0,V_pwm175_grab1
3110,668,-874,21236,SC,0,V_pwm175_grab1
3115,100,-912,-562,SC,0,V_pwm175_grab1
3121,-4898,-2058,748,SC,0,V_pwm175_grab1
3126,-1674,-1498,-2812,SC,0,V_pwm175_grab1
3130,5674,-2,8040,SC,0,V_pwm175_grab1
3136,7110,492,21924,SC,0,V_pwm175_grab1
3140,356,1054,21768,SC,0,V_pwm175_grab1
3145,-5548,1118,12022,SC,0,V_pwm175_grab1
3151,-5034,258,1420,SC,0,V_pwm175_grab1
3155,-850,-356,-2472,SC,0,V_pwm175_grab1
3160,5762,64,8690,SC,0,V_pwm175_grab1
3166,7120,-1042,21230,SC,0,V_pwm175_grab1
3170,638,-798,21292,SC,0,V_pwm175_grab1
3176,-5322,-1414,11454,SC,0,V_pwm175_grab1
3180,-4432,-1804,1272,SC,0,V_pwm175_grab1
3186,-1556,-1372,-2414,SC,0,V_pwm175_grab1
3190,5958,104,9282,SC,0,V_pwm175_grab1
3196,6962,490,22162,SC,0,V_pwm175_grab1
3200,-322,880,20716,SC,0,V_pwm175_grab1
3206,-5074,1132,10892,SC,0,V_pwm175_grab1
